"CountryCode","Country","Capital","RegionCode","SubregionCode","CurrencyKey01","CurrencyKey02","Area"
"afg","Afghanistan","Kabul",142,34,"afn",NULL,652230
"ago","Angola","Luanda",2,202,"aoa",NULL,1246700
"alb","Albania","Tirana",150,39,"all",NULL,28748
"and","Andorra","Andorra la Vella",150,39,"eur",NULL,468
"are","United Arab Emirates","Abu Dhabi",142,145,"aed",NULL,83600
"arg","Argentina","Buenos Aires",19,419,"ars",NULL,2780400
"arm","Armenia","Yerevan",142,145,"amd",NULL,29743
"atg","Antigua and Barbuda","St. John's",19,419,"xcd",NULL,442
"aus","Australia","Canberra",9,53,"aud",NULL,7692024
"aut","Austria","Vienna",150,155,"eur",NULL,83871
"aze","Azerbaijan","Baku",142,145,"azn",NULL,86600
"bdi","Burundi","Bujumbura",2,202,"bif",NULL,27834
"bel","Belgium","Brussels",150,155,"eur",NULL,30528
"ben","Benin","Porto-Novo",2,202,"xof",NULL,112622
"bfa","Burkina Faso","Ouagadougou",2,202,"xof",NULL,272967
"bgd","Bangladesh","Dhaka",142,34,"bdt",NULL,147570
"bgr","Bulgaria","Sofia",150,151,"bgn",NULL,110879
"bhr","Bahrain","Manama",142,145,"bhd",NULL,765
"bhs","Bahamas","Nassau",19,419,"bsd",NULL,13943
"bih","Bosnia and Herzegovina","Sarajevo",150,39,"bam",NULL,51209
"blr","Belarus","Minsk",150,151,"byn",NULL,207600
"blz","Belize","Belmopan",19,419,"bzd",NULL,22966
"bol","Bolivia (Plurinational State of)","Sucre",19,419,"bob",NULL,1098581
"bra","Brazil","Brasilia",19,419,"brl",NULL,8515767
"brb","Barbados","Bridgetown",19,419,"bbd",NULL,430
"brn","Brunei Darussalam","Bandar Seri Begawan",142,35,"bnd",NULL,5765
"bwa","Botswana","Gaborone",2,202,"bwp",NULL,582000
"caf","Central African Republic","Bangui",2,202,"xaf",NULL,622984
"can","Canada","Ottawa",19,21,"cad",NULL,9984670
"che","Switzerland","Bern",150,155,"chf",NULL,41284
"chl","Chile","Santiago",19,419,"clp",NULL,756102
"chn","China","Beijing",142,30,"cny",NULL,9706961
"civ","Cote d'Ivoire","Yamoussoukro",2,202,"xof",NULL,322463
"cmr","Cameroon","Yaounde",2,202,"xaf",NULL,475442
"cod","Congo, Democratic Republic of the","Kinshasa",2,202,"cdf",NULL,2345000
"cog","Congo","Brazzaville",2,202,"xaf",NULL,342000
"col","Colombia","Bogota",19,419,"cop",NULL,1141748
"com","Comoros","Moroni",2,202,"kmf",NULL,1862
"cpv","Cabo Verde","Praia",2,202,"cve",NULL,4033
"cri","Costa Rica","San Jose",19,419,"crc",NULL,51100
"cyp","Cyprus","Nicosia",142,145,"eur",NULL,9251
"cze","Czechia","Prague",150,151,"czk",NULL,78865
"deu","Germany","Berlin",150,155,"eur",NULL,357114
"dji","Djibouti","Djibouti",2,202,"djf",NULL,23200
"dma","Dominica","Roseau",19,419,"xcd",NULL,751
"dnk","Denmark","Copenhagen",150,154,"dkk",NULL,43094
"dom","Dominican Republic","Santo Domingo",19,419,"dop",NULL,48671
"dza","Algeria","Algiers",2,15,"dzd",NULL,2381741
"ecu","Ecuador","Quito",19,419,"usd",NULL,276841
"egy","Egypt","Cairo",2,15,"egp",NULL,1002450
"eri","Eritrea","Asmara",2,202,"ern",NULL,117600
"esp","Spain","Madrid",150,39,"eur",NULL,505992
"est","Estonia","Tallinn",150,154,"eur",NULL,45227
"eth","Ethiopia","Addis Ababa",2,202,"etb",NULL,1104300
"fin","Finland","Helsinki",150,154,"eur",NULL,338424
"fji","Fiji","Suva",9,54,"fjd",NULL,18272
"fra","France","Paris",150,155,"eur",NULL,551695
"fsm","Micronesia (Federated States of)","Palikir",9,57,"usd",NULL,702
"gab","Gabon","Libreville",2,202,"xaf",NULL,267668
"gbr","United Kingdom of Great Britain and Northern Ireland","London",150,154,"gbp",NULL,242900
"geo","Georgia","Tbilisi",142,145,"gel",NULL,69700
"gha","Ghana","Accra",2,202,"ghs",NULL,238533
"gin","Guinea","Conakry",2,202,"gnf",NULL,245857
"gmb","Gambia","Banjul",2,202,"gmd",NULL,10689
"gnb","Guinea-Bissau","Bissau",2,202,"xof",NULL,36125
"gnq","Equatorial Guinea","Malabo",2,202,"xaf",NULL,28051
"grc","Greece","Athens",150,39,"eur",NULL,131990
"grd","Grenada","St. George's",19,419,"xcd",NULL,344
"gtm","Guatemala","Guatemala City",19,419,"gtq",NULL,108889
"guy","Guyana","Georgetown",19,419,"gyd",NULL,214969
"hnd","Honduras","Tegucigalpa",19,419,"hnl",NULL,112492
"hrv","Croatia","Zagreb",150,39,"hrk",NULL,56594
"hun","Hungary","Budapest",150,151,"huf",NULL,93028
"idn","Indonesia","Jakarta",142,35,"idr",NULL,1904569
"ind","India","New Delhi",142,34,"inr",NULL,3287590
"irl","Ireland","Dublin",150,154,"eur",NULL,70273
"irn","Iran (Islamic Republic of)","Tehran",142,34,"irr",NULL,1648195
