"table_name","constraint_name","constraint_type","column_name","match_type","on_update","on_delete","references_table","references_field"
"DimCountries","DimCountries_pkey","PRIMARY KEY","CountryCode",NULL,NULL,NULL,NULL,NULL
"DimCountries","DimCurrencies01FK","FOREIGN KEY","CurrencyKey01","FULL","CASCADE","CASCADE","DimCurrencies","CurrencyKey"
"DimCountries","DimCurrencies02FK","FOREIGN KEY","CurrencyKey02","FULL","CASCADE","CASCADE","DimCurrencies","CurrencyKey"
"DimCountries","DimRegionsFK","FOREIGN KEY","RegionCode","FULL","CASCADE","CASCADE","DimRegions","RegionCode"
"DimCountries","DimSubregionsFK","FOREIGN KEY","SubregionCode","FULL","CASCADE","CASCADE","DimSubregions","SubregionCode"
"DimCurrencies","DimCurrencies_pkey","PRIMARY KEY","CurrencyKey",NULL,NULL,NULL,NULL,NULL
"DimCustomer","DimCustomer_pkey","PRIMARY KEY","CustomerKey",NULL,NULL,NULL,NULL,NULL
"DimCustomer","DimGeographyFK","FOREIGN KEY","GeographyKey","FULL","CASCADE","CASCADE","DimGeography","GeographyKey"
"DimEmployee","DimEmployee_pkey","PRIMARY KEY","EmployeeKey",NULL,NULL,NULL,NULL,NULL
"DimEmployee","DimEmployeeFK","FOREIGN KEY","ParentEmployeeKey","FULL","CASCADE","CASCADE","DimEmployee","EmployeeKey"
"DimEmployee","DimSalesTerritoryFK","FOREIGN KEY","SalesTerritoryKey","FULL","CASCADE","CASCADE","DimSalesTerritory","SalesTerritoryKey"
"DimGeography","DimCountriesFK","FOREIGN KEY","CountryCode","FULL","CASCADE","CASCADE","DimCountries","CountryCode"
"DimGeography","DimGeography_pkey","PRIMARY KEY","GeographyKey",NULL,NULL,NULL,NULL,NULL
"DimGeography","DimSalesTerritoryFK","FOREIGN KEY","SalesTerritoryKey","FULL","CASCADE","CASCADE","DimSalesTerritory","SalesTerritoryKey"
"DimGeography","DimStatesProvincesFK","FOREIGN KEY","StateProvinceCode","FULL","CASCADE","CASCADE","DimStatesProvinces","StateProvinceCode"
"DimProduct","DimProduct_pkey","PRIMARY KEY","ProductKey",NULL,NULL,NULL,NULL,NULL
"DimProduct","DimProductSubcategoryFK","FOREIGN KEY","ProductSubcategoryKey","FULL","CASCADE","CASCADE","DimProductSubcategory","ProductSubcategoryKey"
"DimProductCategory","DimProductCategory_pkey","PRIMARY KEY","ProductCategoryKey",NULL,NULL,NULL,NULL,NULL
"DimProductSubcategory","DimProductCategoryFK","FOREIGN KEY","ProductCategoryKey","FULL","CASCADE","CASCADE","DimProductCategory","ProductCategoryKey"
"DimProductSubcategory","DimProductSubcategory_pkey","PRIMARY KEY","ProductSubcategoryKey",NULL,NULL,NULL,NULL,NULL
"DimPromotion","DimPromotion_pkey","PRIMARY KEY","PromotionKey",NULL,NULL,NULL,NULL,NULL
"DimRegions","DimRegions_pkey","PRIMARY KEY","RegionCode",NULL,NULL,NULL,NULL,NULL
"DimReseller","DimReseller_pkey","PRIMARY KEY","ResellerKey",NULL,NULL,NULL,NULL,NULL
"DimSalesTerritory","DimCountriesFK","FOREIGN KEY","CountryCode","FULL","CASCADE","CASCADE","DimCountries","CountryCode"
"DimSalesTerritory","DimSalesTerritory_pkey","PRIMARY KEY","SalesTerritoryKey",NULL,NULL,NULL,NULL,NULL
"DimStatesProvinces","DimCountriesFK","FOREIGN KEY","CountryCode","FULL","CASCADE","CASCADE","DimCountries","CountryCode"
"DimStatesProvinces","DimStatesProvinces_pkey","PRIMARY KEY","StateProvinceCode",NULL,NULL,NULL,NULL,NULL
"DimSubregions","DimSubregions_pkey","PRIMARY KEY","SubregionCode",NULL,NULL,NULL,NULL,NULL
"FactCountries","DimCountriesFK","FOREIGN KEY","CountryCode","FULL","CASCADE","CASCADE","DimCountries","CountryCode"
"FactCountries","FactCountries_pkey","PRIMARY KEY","CountryCode",NULL,NULL,NULL,NULL,NULL
"FactExchanges","FK_DimCurrencies","FOREIGN KEY","CurrencyKey","FULL","CASCADE","CASCADE","DimCurrencies","CurrencyKey"
"FactExchanges","FactExchanges_pkey","PRIMARY KEY","CurrencyKey",NULL,NULL,NULL,NULL,NULL
"FactExchanges","FactExchanges_pkey","PRIMARY KEY","Date",NULL,NULL,NULL,NULL,NULL
"FactInternetSales","DimCurrenciesFK","FOREIGN KEY","CurrencyKey","FULL","CASCADE","CASCADE","DimCurrencies","CurrencyKey"
"FactInternetSales","DimCustomerFK","FOREIGN KEY","CustomerKey","FULL","CASCADE","CASCADE","DimCustomer","CustomerKey"
"FactInternetSales","FactInternetSales_pkey","PRIMARY KEY","FactInternetSalesPK",NULL,NULL,NULL,NULL,NULL
"FactInternetSales","DimProductFK","FOREIGN KEY","ProductKey","FULL","CASCADE","CASCADE","DimProduct","ProductKey"
"FactInternetSales","DimPromotionFK","FOREIGN KEY","PromotionKey","FULL","CASCADE","CASCADE","DimPromotion","PromotionKey"
"FactInternetSales","DimSalesTerritoryFK","FOREIGN KEY","SalesTerritoryKey","FULL","CASCADE","CASCADE","DimSalesTerritory","SalesTerritoryKey"
"FactInternetSalesForecast","DimCurrenciesFK","FOREIGN KEY","CurrencyKey","FULL","CASCADE","CASCADE","DimCurrencies","CurrencyKey"
"FactInternetSalesForecast","DimCustomerForecastFK","FOREIGN KEY","CustomerKey","FULL","CASCADE","CASCADE","DimCustomer","CustomerKey"
"FactInternetSalesForecast","FactInternetSalesForecast_pkey","PRIMARY KEY","FactInternetSalesForecastPK",NULL,NULL,NULL,NULL,NULL
"FactInternetSalesForecast","DimProductForecastFK","FOREIGN KEY","ProductKey","FULL","CASCADE","CASCADE","DimProduct","ProductKey"
"FactInternetSalesForecast","DimPromotionForecastFK","FOREIGN KEY","PromotionKey","FULL","CASCADE","CASCADE","DimPromotion","PromotionKey"
"FactInternetSalesForecast","DimSalesTerritoryForecastFK","FOREIGN KEY","SalesTerritoryKey","FULL","CASCADE","CASCADE","DimSalesTerritory","SalesTerritoryKey"
"FactInternetSalesReason","FactInternetSalesReason_pkey","PRIMARY KEY","FactInternetSalesReasonPK",NULL,NULL,NULL,NULL,NULL
"FactInternetSalesReason","FactInternetSalesReason_004FK","FOREIGN KEY","FactInternetSalesReason_004","FULL","CASCADE","CASCADE","FactInternetSales","FactInternetSalesPK"
"FactProductInventory","FactProductInventory_pkey","PRIMARY KEY","FactProductInventoryPK",NULL,NULL,NULL,NULL,NULL
"FactProductInventory","DimProductFK","FOREIGN KEY","ProductKey","FULL","CASCADE","CASCADE","DimProduct","ProductKey"
"FactResellerSales","FactResellerSales_pkey","PRIMARY KEY","FactResellerSalesPK",NULL,NULL,NULL,NULL,NULL
