date;eur;cad;aud;gbp
2010-12-01;1.3379;1.0027;1.0217;1.5601
2010-12-02;1.3379;1.0027;1.0217;1.5601
2010-12-03;1.3379;1.0027;1.0217;1.5601
2010-12-04;1.3379;1.0027;1.0217;1.5601
2010-12-05;1.3379;1.0027;1.0217;1.5601
2010-12-06;1.3379;1.0027;1.0217;1.5601
2010-12-07;1.3379;1.0027;1.0217;1.5601
2010-12-08;1.3379;1.0027;1.0217;1.5601
2010-12-09;1.3379;1.0027;1.0217;1.5601
2010-12-10;1.3379;1.0027;1.0217;1.5601
2010-12-11;1.3379;1.0027;1.0217;1.5601
2010-12-12;1.3379;1.0027;1.0217;1.5601
2010-12-13;1.3379;1.0027;1.0217;1.5601
2010-12-14;1.3379;1.0027;1.0217;1.5601
2010-12-15;1.3379;1.0027;1.0217;1.5601
2010-12-16;1.3379;1.0027;1.0217;1.5601
2010-12-17;1.3379;1.0027;1.0217;1.5601
2010-12-18;1.3379;1.0027;1.0217;1.5601
2010-12-19;1.3379;1.0027;1.0217;1.5601
2010-12-20;1.3379;1.0027;1.0217;1.5601
2010-12-21;1.3379;1.0027;1.0217;1.5601
2010-12-22;1.3379;1.0027;1.0217;1.5601
2010-12-23;1.3379;1.0027;1.0217;1.5601
2010-12-24;1.3379;1.0027;1.0217;1.5601
2010-12-25;1.3379;1.0027;1.0217;1.5601
2010-12-26;1.3379;1.0027;1.0217;1.5601
2010-12-27;1.3379;1.0027;1.0217;1.5601
2010-12-28;1.3379;1.0027;1.0217;1.5601
2010-12-29;1.3379;1.0027;1.0217;1.5601
2010-12-30;1.3379;1.0027;1.0217;1.5601
2010-12-31;1.3379;1.0027;1.0217;1.5601
2011-01-01;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-02;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-03;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-04;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-05;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-06;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-07;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-08;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-09;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-10;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-11;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-12;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-13;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-14;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-15;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-16;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-17;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-18;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-19;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-20;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-21;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-22;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-23;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-24;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-25;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-26;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-27;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-28;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-29;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-30;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-01-31;1.3686;0.9984000000000001;0.9963000000000001;1.6015000000000001
2011-02-01;1.3802;1.0292;1.0183;1.6258
2011-02-02;1.3802;1.0292;1.0183;1.6258
2011-02-03;1.3802;1.0292;1.0183;1.6258
2011-02-04;1.3802;1.0292;1.0183;1.6258
2011-02-05;1.3802;1.0292;1.0183;1.6258
2011-02-06;1.3802;1.0292;1.0183;1.6258
2011-02-07;1.3802;1.0292;1.0183;1.6258
2011-02-08;1.3802;1.0292;1.0183;1.6258
2011-02-09;1.3802;1.0292;1.0183;1.6258
2011-02-10;1.3802;1.0292;1.0183;1.6258
2011-02-11;1.3802;1.0292;1.0183;1.6258
2011-02-12;1.3802;1.0292;1.0183;1.6258
2011-02-13;1.3802;1.0292;1.0183;1.6258
2011-02-14;1.3802;1.0292;1.0183;1.6258
2011-02-15;1.3802;1.0292;1.0183;1.6258
2011-02-16;1.3802;1.0292;1.0183;1.6258
2011-02-17;1.3802;1.0292;1.0183;1.6258
2011-02-18;1.3802;1.0292;1.0183;1.6258
2011-02-19;1.3802;1.0292;1.0183;1.6258
2011-02-20;1.3802;1.0292;1.0183;1.6258
2011-02-21;1.3802;1.0292;1.0183;1.6258
2011-02-22;1.3802;1.0292;1.0183;1.6258
2011-02-23;1.3802;1.0292;1.0183;1.6258
2011-02-24;1.3802;1.0292;1.0183;1.6258
2011-02-25;1.3802;1.0292;1.0183;1.6258
2011-02-26;1.3802;1.0292;1.0183;1.6258
2011-02-27;1.3802;1.0292;1.0183;1.6258
2011-02-28;1.3802;1.0292;1.0183;1.6258
2011-03-01;1.4165;1.0308;1.0327;1.6031
2011-03-02;1.4165;1.0308;1.0327;1.6031
2011-03-03;1.4165;1.0308;1.0327;1.6031
2011-03-04;1.4165;1.0308;1.0327;1.6031
2011-03-05;1.4165;1.0308;1.0327;1.6031
2011-03-06;1.4165;1.0308;1.0327;1.6031
2011-03-07;1.4165;1.0308;1.0327;1.6031
2011-03-08;1.4165;1.0308;1.0327;1.6031
2011-03-09;1.4165;1.0308;1.0327;1.6031
2011-03-10;1.4165;1.0308;1.0327;1.6031
2011-03-11;1.4165;1.0308;1.0327;1.6031
2011-03-12;1.4165;1.0308;1.0327;1.6031
2011-03-13;1.4165;1.0308;1.0327;1.6031
