"table","rowcount"
"DimCountries",193
"DimCurrencies",146
"DimCustomer",18484
"DimEmployee",296
"DimGeography",655
"DimProduct",606
"DimProductCategory",4
"DimProductSubcategory",37
"DimPromotion",16
"DimRegions",5
"DimReseller",701
"DimSalesTerritory",10
"DimStatesProvinces",71
"DimSubregions",17
"FactCountries",193
"FactExchanges",4632
"FactInternetSales",60398
"FactInternetSalesForecast",52801
"FactInternetSalesReason",64515
"FactProductInventory",776286
"FactResellerSales",60855
"Metadata",187
