"Key","Meaning","Standard","Formula","Units"
"m001","Country code","Standard ISO3"," "," "
"m002","Country standard name"," "," "," "
"m003","Country area"," "," ","Km2"
"m004","Region standardized name"," "," "," "
"m005","Country Population in the year"," "," "," "
"m006","Population Density Rate"," ","population/Km2"," "
"m007","Population Growth Rate"," ","(t1-t0)/t0 x 100; t0=last year population; t1= current year population","""%"""
"m008","CO2 emissions Per Capita"," ","e1 /t1; e1=current year total CO2 emissions; t1= current year population","Tons"
"m009","Material Footprint Per Capita"," ","(de + rmeim - rmeex)/t1; de = domestic extraction of materials; rmeim = raw material equivalent of imports; rmeex = – raw material equivalents of exports; t1= current year population","Tons"
"m010","Gross Domestic Product"," ","pc + gpi + gi + gs + (e – i); pc=private consumption; gpi=gross private investment; gi=government investment; gs=government spending; e=exports; i=imports; Gross Domestic Product Growth = GDP1-GDP0/GDP0; GDP1=GDP current year (adjusted for inflation); GDP0=GDP last year (adjusted for inflation)","US$"
"m011","Gross National Income Per Capita"," ","gni/population; gni= gdp + (inward remittances by businesses and individuals – outward remittance by the foreigners residing in the country)","US$"
"m012","Female Gross National Income Per Capita"," "," "," "
"m013","Male Gros National Income Per Capita"," "," ","US$"
"m014","Female Labor Force Participation Rate"," ","flf / twap x 100; flf=female labor force; twap=total working-age population","%"
"m015","Male Labor Force Participation Rate"," "," ","%"
"m016","Public Debt as % of GDP"," ","pd / gdp; pd=public debt at the end of a 12-month period; gdp=GDP during that period","%"
"m017","Expected Years of Shooling"," ","years a child of school entrance age is expected to spend at school, or university, including years spent on repetition","years"
"m018","Female Years of Schooling"," "," ","years"
"m019","Male Years of Schooling"," "," ","years"
"m020","Female Some Secondary Education"," "," ","years"
"m021","Male Some Secondary Education"," "," ","years"
"m022","Current Health Expenditure % of GDP"," "," ","%"
"m023","Current Health Expenditure Per Capita in US$"," "," ","US$"
"m024","Life Expectancy at birth"," ","number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life","years"
"m025","Female Years of Life Expectancy"," "," ","years"
"m026","Male Years of Life Expectanc"," "," ","years"
"m027","Maternal Mortality Rate"," ","number of maternal deaths in a year / number of live births for the same period x 100,000","%"
"m028","Teen Birth Rate"," ","number of resident live births to mothers ages 15-19 / number of resident women aged 15-19","%"
"m029","Primary key for Employee records"," "," "," "
"m030","Parent employee key"," "," "," "
"m031","Unique national identification number such as a social security number"," "," "," "
"m032","Parent unique national identification number such as a social security number"," "," "," "
"m033","Territory currently assigned to. Foreign key to SalesTerritory.SalesTerritoryID"," "," "," "
"m034","First name"," "," "," "
"m035","Last name"," "," "," "
"m036","Middle name"," "," "," "
"m037","Name style"," ","0 = The data in FirstName and LastName are stored in western style (first name, last name) order. 1 = Eastern style (last name, first name) order"," "
"m038","Work title"," ","Such as Buyer or Sales Representative"," "
"m039","Employee hired on this date"," "," "," "
"m040","Date of birth"," "," "," "
"m041","Network login"," "," "," "
"m042","Email address"," "," "," "
"m043","Phone"," "," "," "
"m044","Marital status"," ","M = Married, S = Single"," "
"m045","Emergency contact name"," "," "," "
"m046","Emergency contact phone"," "," "," "
"m047","Salaried flag"," ","Job classification. 0 = Hourly, not exempt from collective bargaining. 1 = Salaried, exempt from collective bargaining"," "
"m048","Gender"," ","M = Male, F = Female"," "
"m049","PayFrequency"," ","1 = Salary received monthly, 2 = Salary received biweekly"," "
"m050","Salary hourly rate"," "," "," "
"m051","Number of available vacation hours"," "," "," "
"m052","Number of available sick leave hours"," "," "," "
"m053","Current flag"," ","0 = Inactive, 1 = Active"," "
"m054","Sales person flag"," ","0 = No, 1 = Yes"," "
"m055","Department name"," "," "," "
"m056","Date the employee started work in the department"," "," "," "
"m057","Date the employee left the departmen"," ","NULL = Current department"," "
"m058","Status"," ","Current or empty"," "
"m059","Primary key for Product records"," "," "," "
"m060","Primary key for Customer records"," "," "," "
"m061","Primary key for Promotion records"," "," "," "
"m062","Primary key for Currency records","The ISO code for the Currency"," "," "
"m063","Primary key for SalesTerritory records"," "," "," "
"m064","Primary key. Unique sales order identification number"," "," "," "
"m065","Primary key. One incremental unique number per product sold"," "," "," "
"m066","Incremental number to track changes to the sales order over time"," "," "," "
"m067","Quantity ordered per product"," "," "," "
"m068","Selling price of a single product"," "," "," "
"m069","Per product subtotal"," ","UnitPrice * (1 - UnitPriceDiscount) * OrderQty"," "
"m070","Unit price discount"," "," "," "
"m071","Discount amount"," "," "," "
"m072","Standard cost of the product"," "," "," "
"m073","Selling price"," "," "," "
"m074","Sales subtotal"," ","SUM(SalesOrderDetail.LineTotal)for the appropriate SalesOrderID"," "
"m075","Tax amount"," "," "," "
"m076","Shipping cost"," "," "," "
"m077","Shipment tracking number supplied by the shipper"," "," "," "
"m078","Customer purchase order number reference"," "," "," "
"m079","Dates the sales order was created"," "," "," "
